date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:49:14	2374/2374	---M-Z	200	added ('OK')	text/xml	date:Tue,%2004%20Feb%202020%2016:49:14%20GMT	http://imperiaskygardennminhkhai.vn/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fimperiaskygardennminhkhai.vn%2F&format=xml	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-json/oembed/1.0/embede978	(from http://imperiaskygardennminhkhai.vn/)
23:49:15	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2004%20Feb%202020%2016:49:15%20GMT	http://imperiaskygardennminhkhai.vn/xmlrpc.php	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/xmlrpc.php	(from http://imperiaskygardennminhkhai.vn/)
23:49:16	2353/2353	---M--	200	added ('OK')	image/png	date:Thu,%2002%20May%202019%2014:48:41%20GMT	http://imperiaskygardennminhkhai.vn/wp-content/uploads/2018/07/logo-smal.png	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-content/uploads/2018/07/logo-smal.png	(from http://imperiaskygardennminhkhai.vn/)
23:49:20	47528/47528	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2002%20May%202019%2014:48:40%20GMT	http://imperiaskygardennminhkhai.vn/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.eot?v=3	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello30f4.eot	(from http://imperiaskygardennminhkhai.vn/)
23:49:24	30804/30804	---M--	200	added ('OK')	font/woff	date:Thu,%2002%20May%202019%2014:48:40%20GMT	http://imperiaskygardennminhkhai.vn/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.woff?v=3	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello30f4.woff	(from http://imperiaskygardennminhkhai.vn/)
23:49:24	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2004%20Feb%202020%2016:49:22%20GMT	http://imperiaskygardennminhkhai.vn/mat-bang	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/mat-bang.1d.delayed	(from http://imperiaskygardennminhkhai.vn/)
23:49:24	7857/7857	---M--	200	added ('OK')	image/png	date:Thu,%2002%20May%202019%2014:48:41%20GMT	http://imperiaskygardennminhkhai.vn/wp-content/uploads/2018/07/isg-logo.png	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-content/uploads/2018/07/isg-logo.png	(from http://imperiaskygardennminhkhai.vn/)
23:49:26	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2004%20Feb%202020%2016:49:24%20GMT	http://imperiaskygardennminhkhai.vn/chinh-sach-ban-hang	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/chinh-sach-ban-hang	(from http://imperiaskygardennminhkhai.vn/)
23:49:26	47332/47332	---M--	200	added ('OK')	font/ttf	date:Thu,%2002%20May%202019%2014:48:40%20GMT	http://imperiaskygardennminhkhai.vn/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.ttf?v=3	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello30f4.ttf	(from http://imperiaskygardennminhkhai.vn/)
23:49:28	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2004%20Feb%202020%2016:49:26%20GMT	http://imperiaskygardennminhkhai.vn/tien-ich	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/tien-ich	(from http://imperiaskygardennminhkhai.vn/)
